,№слитка-индекс-часть,"кол. в садке, шт",Температура,нагрев_operation_1,ковка_operation_2,прокат_operation_3,нагрев_operation_4,ковка_operation_5,прокат_operation_6,нагрев_operation_7,ковка_operation_8,прокат_operation_9,нагрев_operation_10,ковка_operation_11,прокат_operation_12,нагрев_operation_13,ковка_operation_14,прокат_operation_15
62,34-8923-18 №3,1.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
63,34-8923-18 №5,1.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
64,234-18-1,1.0,960.0,4.0,0.25,,2.0,0.25,,,,,,,,,,
65,"34-8923-18 №5,6",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,
66,"34-15023-18№1,2",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
67,"34-15023-18№3,4",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
68,"34-8923-18 №1,2",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,
69,"34-8923-18 №3,4",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,
70,34-8923-18 №5,2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,
71,34-8843-18 ч1,1.0,950.0,3.0,,0.25,,,,,,,,,,,,
72,34-8843-18 ч2,1.0,950.0,3.0,,0.25,,,,,,,,,,,,
73,34-8853-18,1.0,1100.0,6.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
74,34-8743-18,1.0,1100.0,6.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
75,34-15093-18,1.0,1100.0,6.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
76,34-8893-18,1.0,1100.0,6.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
77,35-150073-18,1.0,1100.0,6.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
78,34-8853-18,1.0,950.0,5.0,0.25,,,,,,,,,,,,,
79,34-8743-18,1.0,950.0,5.0,0.25,,,,,,,,,,,,,
80,34-15093-18,1.0,950.0,5.0,0.25,,,,,,,,,,,,,
81,34-8893-18,1.0,950.0,5.0,0.25,,,,,,,,,,,,,
82,35-150073-18,1.0,950.0,6.0,0.25,,,,,,,,,,,,,
83,34-8813-18,1.0,950.0,5.0,0.25,,,,,,,,,,,,,
84,34-8863-18,1.0,950.0,5.0,0.25,,,,,,,,,,,,,
85,34-8743-18,2.0,950.0,1.0,0.25,,1.0,0.25,,,,,,,,,,
86,34-8743-18,1.0,950.0,1.0,0.25,,1.0,0.25,,,,,,,,,,
87,234-18-1,1.0,830.0,3.0,0.25,,,,,,,,,,,,,
88,234-18-1,1.0,830.0,3.0,0.25,,,,,,,,,,,,,
89,234-18-1,1.0,830.0,3.0,0.25,,,,,,,,,,,,,
90,990-18-1,2.0,840.0,2.0,0.25,,,,,,,,,,,,,
91,990-18-1,2.0,840.0,2.0,0.25,,,,,,,,,,,,,
92,34-8813-18,1.0,1100.0,5.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
93,34-8863-18,1.0,1100.0,5.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
94,34-15093-18,1.0,1100.0,5.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
